levs
KCl (500 mM)
KCl (1000 mM)
KCl (1500 mM)
NaCl (250 mM)
NaCl (500 mM)
NaCl (1000 mM)
4°C
16°C
30°C
40°C
Ethanol (5%)
Ethanol (7%)
Ethanol (9%)
Ethanol (10%)
Ethanol (11%)
Ethanol (12%)
Sulfite (1.5 mM)
Sulfite (2.25 mM)
Sulfite (3.0 mM)
Glucose (46%)
Sorbitol (46%)
Glucose (48%)
Sorbitol (48%)
Glucose (50%)
Sorbitol (50%)
Copper (0.075 mM)
Cadmium (0.3 mM)
Cadmium (0.4 mM)
Cadmium (0.5 mM)
Actidione (0.2 mg/L)
Actidione (0.4 mg/L)
Actidione (0.5 mg/L)
Acetic acid (50 mM)
Acetic acid (75 mM)
Acetic acid (100 mM)
Levulinic acid (25 mM)
Levulinic acid (50 mM)
Levulinic acid (75 mM)
Formic acid (25 mM)
Formic acid (50 mM)
Formic acid (75 mM)
Glycerol (20°C)
Melibiose (20°C)
Sorbitol (20°C)
Ethanol (20°C)
Galactose (20°C)
Fructose (20°C)
Sucrose (20°C)
Maltose (20°C)
Maltose (liquid)
Maltotriose (liquid)
Glucose (10°C)
Ethanol (10°C)
Fructose (10°C)
Sucrose (10°C)
Maltose (10°C)
Glucose (39°C)
Ethanol (39°C)
Fructose (39°C)
Sucrose (39°C)
Maltose (39°C)
Lysine
Ethyl propionate
Ethyl butyrate
Ethyl hexanoate
Ethyl octanoate
Ethyl decanoate
Propyl acetate
Isobutyl acetate
Ethyl acetate
Isoamyl acetate
Phenyl ethyl acetate
Phenyl ethanol
Butanol
Isoamyl alcohol
Isobutanol
POF
Acetaldehyde
Flocculation
Ethanol production
Sporulation efficiency
Spore viability
